dtype,size,n_batch,time
torch.bfloat16,2048,1,0.532480001449585
torch.bfloat16,2048,2,0.8232960104942322
torch.bfloat16,2048,4,1.4284800291061401
torch.bfloat16,2048,8,2.8088319301605225
torch.bfloat16,2048,16,5.32480001449585
torch.bfloat16,2048,32,10.560511589050293
torch.bfloat16,2048,64,23.393280029296875
torch.bfloat16,2048,128,49.00454330444336
torch.bfloat16,2048,256,99.85228729248047
torch.float16,2048,1,0.536575973033905
torch.float16,2048,2,0.9861119985580444
torch.float16,2048,4,1.7203199863433838
torch.float16,2048,8,3.3454079627990723
torch.float16,2048,16,6.301695823669434
torch.float16,2048,32,12.008447647094727
torch.float16,2048,64,24.31590461730957
torch.float16,2048,128,50.27328109741211
torch.float16,2048,256,102.9959716796875
torch.float32,2048,1,6.372352123260498
torch.float32,2048,2,12.223487854003906
torch.float32,2048,4,20.737024307250977
torch.float32,2048,8,38.635520935058594
torch.float32,2048,16,76.6371841430664
torch.float32,2048,32,151.06253051757812
torch.float32,2048,64,301.2300720214844
torch.float32,2048,128,605.2689819335938
torch.float32,2048,256,1210.523681640625
