kernel,dtype,size,blocksize,n_batch,sparsity,speedup,note
torch-2.0(fallback),torch.bfloat16,2048,16,1,0.50469970703125,0.0087,
torch-2.0(fallback),torch.bfloat16,2048,16,1,0.5933837890625,0.0106,
torch-2.0(fallback),torch.bfloat16,2048,16,1,0.68096923828125,0.0138,
torch-2.0(fallback),torch.bfloat16,2048,16,1,0.7545166015625,0.0178,
torch-2.0(fallback),torch.bfloat16,2048,16,1,0.81964111328125,0.0242,
torch-2.0(fallback),torch.bfloat16,2048,16,1,0.88031005859375,0.0359,
torch-2.0(fallback),torch.bfloat16,2048,16,1,0.9158935546875,0.0504,
torch-2.0(fallback),torch.bfloat16,2048,16,1,0.9488525390625,0.0805,
torch-2.0(fallback),torch.bfloat16,2048,16,1,0.97021484375,0.1310,
torch-2.0(fallback),torch.bfloat16,2048,16,1,0.9818115234375,0.1978,
torch-2.0(fallback),torch.bfloat16,2048,16,1,0.991455078125,0.3558,
torch-2.0(fallback),torch.bfloat16,2048,32,1,0.501708984375,0.0240,
torch-2.0(fallback),torch.bfloat16,2048,32,1,0.60595703125,0.0301,
torch-2.0(fallback),torch.bfloat16,2048,32,1,0.683837890625,0.0373,
torch-2.0(fallback),torch.bfloat16,2048,32,1,0.75146484375,0.0469,
torch-2.0(fallback),torch.bfloat16,2048,32,1,0.82470703125,0.0654,
torch-2.0(fallback),torch.bfloat16,2048,32,1,0.880615234375,0.0932,
torch-2.0(fallback),torch.bfloat16,2048,32,1,0.918701171875,0.1307,
torch-2.0(fallback),torch.bfloat16,2048,32,1,0.945068359375,0.1812,
torch-2.0(fallback),torch.bfloat16,2048,32,1,0.966552734375,0.2660,
torch-2.0(fallback),torch.bfloat16,2048,32,1,0.980712890625,0.4067,
torch-2.0(fallback),torch.bfloat16,2048,32,1,0.991943359375,0.6731,
torch-2.0(fallback),torch.bfloat16,2048,64,1,0.509765625,0.0474,
torch-2.0(fallback),torch.bfloat16,2048,64,1,0.59375,0.0568,
torch-2.0(fallback),torch.bfloat16,2048,64,1,0.693359375,0.0738,
torch-2.0(fallback),torch.bfloat16,2048,64,1,0.7734375,0.0972,
torch-2.0(fallback),torch.bfloat16,2048,64,1,0.8056640625,0.1117,
torch-2.0(fallback),torch.bfloat16,2048,64,1,0.875,0.1628,
torch-2.0(fallback),torch.bfloat16,2048,64,1,0.9267578125,0.2480,
torch-2.0(fallback),torch.bfloat16,2048,64,1,0.951171875,0.3414,
torch-2.0(fallback),torch.bfloat16,2048,64,1,0.974609375,0.5442,
torch-2.0(fallback),torch.bfloat16,2048,64,1,0.9853515625,0.6964,
torch-2.0(fallback),torch.bfloat16,2048,64,1,0.9912109375,0.8146,
torch-2.0(fallback),torch.bfloat16,2048,16,2,0.495849609375,0.0070,
torch-2.0(fallback),torch.bfloat16,2048,16,2,0.596923828125,0.0088,
torch-2.0(fallback),torch.bfloat16,2048,16,2,0.670654296875,0.0109,
torch-2.0(fallback),torch.bfloat16,2048,16,2,0.76068115234375,0.0149,
torch-2.0(fallback),torch.bfloat16,2048,16,2,0.82293701171875,0.0201,
torch-2.0(fallback),torch.bfloat16,2048,16,2,0.873291015625,0.0279,
torch-2.0(fallback),torch.bfloat16,2048,16,2,0.9146728515625,0.0409,
torch-2.0(fallback),torch.bfloat16,2048,16,2,0.95050048828125,0.0688,
torch-2.0(fallback),torch.bfloat16,2048,16,2,0.97003173828125,0.1089,
torch-2.0(fallback),torch.bfloat16,2048,16,2,0.98358154296875,0.1842,
torch-2.0(fallback),torch.bfloat16,2048,16,2,0.9896240234375,0.2650,
torch-2.0(fallback),torch.bfloat16,2048,32,2,0.508056640625,0.0193,
torch-2.0(fallback),torch.bfloat16,2048,32,2,0.588623046875,0.0231,
torch-2.0(fallback),torch.bfloat16,2048,32,2,0.6806640625,0.0297,
torch-2.0(fallback),torch.bfloat16,2048,32,2,0.747314453125,0.0373,
torch-2.0(fallback),torch.bfloat16,2048,32,2,0.828857421875,0.0544,
torch-2.0(fallback),torch.bfloat16,2048,32,2,0.87646484375,0.0740,
torch-2.0(fallback),torch.bfloat16,2048,32,2,0.9111328125,0.1002,
torch-2.0(fallback),torch.bfloat16,2048,32,2,0.950927734375,0.1687,
torch-2.0(fallback),torch.bfloat16,2048,32,2,0.962646484375,0.2113,
torch-2.0(fallback),torch.bfloat16,2048,32,2,0.982666015625,0.3712,
torch-2.0(fallback),torch.bfloat16,2048,32,2,0.990234375,0.5355,
torch-2.0(fallback),torch.bfloat16,2048,64,2,0.4658203125,0.0350,
torch-2.0(fallback),torch.bfloat16,2048,64,2,0.5908203125,0.0455,
torch-2.0(fallback),torch.bfloat16,2048,64,2,0.6923828125,0.0598,
torch-2.0(fallback),torch.bfloat16,2048,64,2,0.7333984375,0.0685,
torch-2.0(fallback),torch.bfloat16,2048,64,2,0.8251953125,0.1014,
torch-2.0(fallback),torch.bfloat16,2048,64,2,0.880859375,0.1429,
torch-2.0(fallback),torch.bfloat16,2048,64,2,0.921875,0.2035,
torch-2.0(fallback),torch.bfloat16,2048,64,2,0.953125,0.3023,
torch-2.0(fallback),torch.bfloat16,2048,64,2,0.9580078125,0.3262,
